Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Beijing,2189,2190,2192,2194,2195,2188,2171,2125,2078,2024,1962,1860,1771,1676,1601,1538,1493,1456,1423,1385,1364
Tianjin,1387,1385,1383,1410,1443,1439,1429,1410,1378,1341,1299,1228,1176,1115,1075,1043,1024,1011,1007,1004,1001
Hebei,7464,7447,7426,7409,7375,7345,7323,7288,7262,7232,7194,7034,6989,6943,6898,6851,6809,6769,6735,6699,6674
Shanxi,3490,3497,3502,3510,3514,3519,3528,3535,3548,3562,3574,3427,3411,3393,3375,3355,3335,3314,3294,3272,3247
Inner Mongolia,2403,2415,2422,2433,2436,2440,2449,2455,2464,2470,2472,2458,2444,2429,2415,2403,2393,2386,2384,2381,2372
Liaoning,4255,4277,4291,4312,4327,4338,4358,4365,4375,4379,4375,4341,4315,4298,4271,4221,4217,4210,4203,4194,4184
Jilin,2399,2448,2484,2526,2567,2613,2642,2668,2698,2725,2747,2740,2734,2730,2723,2716,2709,2704,2699,2691,2682
Heilongjiang,3171,3255,3327,3399,3463,3529,3608,3666,3724,3782,3833,3826,3825,3824,3823,3820,3817,3815,3813,3811,3807
Shanghai,2488,2481,2475,2466,2467,2458,2467,2448,2399,2356,2303,2210,2141,2064,1964,1890,1835,1766,1713,1668,1609
Jiangsu,8477,8469,8446,8423,8381,8315,8281,8192,8120,8023,7869,7810,7762,7723,7656,7588,7523,7458,7406,7359,7327
Zhejiang,6468,6375,6273,6170,6072,5985,5890,5784,5685,5570,5447,5276,5212,5155,5072,4991,4925,4857,4776,4729,4680
Anhui,6105,6092,6076,6057,6033,6011,5997,5988,5978,5972,5957,6131,6135,6118,6110,6120,6228,6163,6144,6128,6093
Fujian,4161,4137,4104,4065,4016,3984,3945,3885,3841,3784,3693,3666,3639,3612,3585,3557,3529,3502,3476,3445,3410
Jiangxi,4519,4516,4513,4511,4496,4485,4480,4476,4475,4474,4462,4432,4400,4368,4339,4311,4284,4254,4222,4186,4149
Shandong,10165,10106,10077,10033,9973,9866,9808,9746,9708,9665,9588,9470,9417,9367,9309,9248,9180,9125,9082,9041,8998
Henan,9941,9901,9864,9829,9778,9701,9645,9573,9532,9461,9405,9487,9429,9360,9392,9380,9717,9667,9613,9555,9488
Hubei,5745,5927,5917,5904,5885,5850,5816,5798,5781,5760,5728,5720,5711,5699,5693,5710,5698,5685,5672,5658,5646
Hunan,6645,6640,6635,6633,6625,6615,6611,6600,6590,6581,6570,6406,6380,6355,6342,6326,6698,6663,6629,6596,6562
Guangdong,12624,12489,12348,12141,11908,11678,11489,11270,11041,10756,10441,10130,9893,9660,9442,9194,9111,8963,8842,8733,8650
Guangxi,5019,4982,4947,4907,4857,4811,4770,4731,4694,4655,4610,4856,4816,4768,4719,4660,4889,4857,4822,4788,4751
Hainan,1012,995,982,972,957,945,936,920,910,890,869,864,854,845,836,828,818,811,803,796,789
Chongqing,3209,3188,3163,3144,3110,3070,3043,3011,2975,2944,2885,2859,2839,2816,2808,2798,2793,2803,2814,2829,2849
Sichuan,8371,8351,8321,8289,8251,8196,8139,8109,8085,8064,8045,8185,8138,8127,8169,8212,8090,8176,8110,8143,8329
Guizhou,3858,3848,3822,3803,3758,3708,3677,3632,3587,3530,3479,3537,3596,3632,3690,3730,3904,3870,3837,3799,3756
Yunnan,4722,4714,4703,4693,4677,4663,4653,4641,4631,4620,4602,4571,4543,4514,4483,4450,4415,4376,4333,4287,4241
Tibet,366,361,354,349,340,330,325,317,315,309,300,296,292,289,285,280,276,272,268,264,258
Shaanxi,3955,3944,3931,3904,3874,3846,3827,3804,3787,3765,3735,3727,3718,3708,3699,3690,3681,3672,3662,3653,3644
Gansu,2501,2509,2515,2522,2520,2523,2531,2537,2550,2552,2560,2555,2551,2548,2547,2545,2541,2537,2531,2523,2515
Qinghai,593,590,587,586,582,577,576,571,571,568,563,557,554,552,548,543,539,534,529,523,517
Ningxia,721,717,710,705,695,684,678,666,659,648,633,625,618,610,604,596,588,580,572,563,554
Xinjiang,2590,2559,2520,2480,2428,2385,2325,2285,2253,2225,2185,2159,2131,2095,2050,2010,1963,1934,1905,1876,1849
