Macrotrends Data Download

China Population 1950-2021
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,554419273
1951-12-31,569909117,2.79
1952-12-31,582576491,2.22
1953-12-31,593365877,1.85
1954-12-31,603052324,1.63
1955-12-31,612241554,1.52
1956-12-31,621363234,1.49
1957-12-31,630677645,1.5
1958-12-31,640295772,1.53
1959-12-31,650212734,1.55
1960-12-31,660408056,1.57
1961-12-31,670952695,1.6
1962-12-31,682102655,1.66
1963-12-31,694339083,1.79
1964-12-31,708254597,2
1965-12-31,724218968,2.25
1966-12-31,742414885,2.51
1967-12-31,762581176,2.72
1968-12-31,784074709,2.82
1969-12-31,805985939,2.79
1970-12-31,827601394,2.68
1971-12-31,848759710,2.56
1972-12-31,869485964,2.44
1973-12-31,889485372,2.3
1974-12-31,908464198,2.13
1975-12-31,926240885,1.96
1976-12-31,942685411,1.78
1977-12-31,957891272,1.61
1978-12-31,972205442,1.49
1979-12-31,986132202,1.43
1980-12-31,1000089235,1.42
1981-12-31,1014022212,1.39
1982-12-31,1027948987,1.37
1983-12-31,1042431412,1.41
1984-12-31,1058171976,1.51
1985-12-31,1075589361,1.65
1986-12-31,1095014109,1.81
1987-12-31,1116095476,1.93
1988-12-31,1137724227,1.94
1989-12-31,1158357397,1.81
1990-12-31,1176883674,1.6
1991-12-31,1192897284,1.36
1992-12-31,1206711244,1.16
1993-12-31,1218817055,1
1994-12-31,1230020031,0.92
1995-12-31,1240920535,0.89
1996-12-31,1251636186,0.86
1997-12-31,1261996012,0.83
1998-12-31,1271982350,0.79
1999-12-31,1281514832,0.75
2000-12-31,1290550765,0.71
2001-12-31,1299129752,0.66
2002-12-31,1307352257,0.63
2003-12-31,1315303521,0.61
2004-12-31,1323084641,0.59
2005-12-31,1330776380,0.58
2006-12-31,1338408647,0.57
2007-12-31,1345993888,0.57
2008-12-31,1353569484,0.56
2009-12-31,1361169419,0.56
2010-12-31,1368810615,0.56
2011-12-31,1376497639,0.56
2012-12-31,1384206401,0.56
2013-12-31,1391883330,0.55
2014-12-31,1399453965,0.54
2015-12-31,1406847870,0.53
2016-12-31,1414049351,0.51
2017-12-31,1421021791,0.49
2018-12-31,1427647786,0.47
2019-12-31,1433783686,0.43
2020-12-31,1439323776,0.39
2021-12-31,1444216107,0.34
2022-12-31,1448471400,0.29
2023-12-31,1452127668,0.25
2024-12-31,1455254870,0.22
2025-12-31,1457908249,0.18
2026-12-31,1460092245,0.15
2027-12-31,1461797638,0.12
2028-12-31,1463052850,0.09
2029-12-31,1463891336,0.06
2030-12-31,1464340159,0.03
2031-12-31,1464417498,0.01
2032-12-31,1464130420,-0.02
2033-12-31,1463480850,-0.04
2034-12-31,1462465126,-0.07
2035-12-31,1461083029,-0.09
2036-12-31,1459341178,-0.12
2037-12-31,1457252170,-0.14
2038-12-31,1454828440,-0.17
2039-12-31,1452084266,-0.19
2040-12-31,1449031423,-0.21
2041-12-31,1445680243,-0.23
2042-12-31,1442035132,-0.25
2043-12-31,1438094712,-0.27
2044-12-31,1433854128,-0.29
2045-12-31,1429312248,-0.32
2046-12-31,1424476528,-0.34
2047-12-31,1419358627,-0.36
2048-12-31,1413967257,-0.38
2049-12-31,1408312307,-0.4
2050-12-31,1402405170,-0.42
2051-12-31,1396257709,-0.44
2052-12-31,1389884278,-0.46
2053-12-31,1383302617,-0.47
2054-12-31,1376532637,-0.49
2055-12-31,1369594144,-0.5
2056-12-31,1362501948,-0.52
2057-12-31,1355273272,-0.53
2058-12-31,1347933553,-0.54
2059-12-31,1340511105,-0.55
2060-12-31,1333030631,-0.56
2061-12-31,1325507541,-0.56
2062-12-31,1317954384,-0.57
2063-12-31,1310388656,-0.57
2064-12-31,1302827463,-0.58
2065-12-31,1295284571,-0.58
2066-12-31,1287771918,-0.58
2067-12-31,1280295263,-0.58
2068-12-31,1272853499,-0.58
2069-12-31,1265441076,-0.58
2070-12-31,1258054226,-0.58
2071-12-31,1250697619,-0.58
2072-12-31,1243376134,-0.59
2073-12-31,1236086058,-0.59
2074-12-31,1228821667,-0.59
2075-12-31,1221580151,-0.59
2076-12-31,1214363701,-0.59
2077-12-31,1207178715,-0.59
2078-12-31,1200032304,-0.59
2079-12-31,1192933525,-0.59
2080-12-31,1185891301,-0.59
2081-12-31,1178909491,-0.59
2082-12-31,1171994339,-0.59
2083-12-31,1165160149,-0.58
2084-12-31,1158423977,-0.58
2085-12-31,1151799202,-0.57
2086-12-31,1145288558,-0.57
2087-12-31,1138892695,-0.56
2088-12-31,1132619331,-0.55
2089-12-31,1126476400,-0.54
2090-12-31,1120466932,-0.53
2091-12-31,1114587314,-0.52
2092-12-31,1108827898,-0.52
2093-12-31,1103174443,-0.51
2094-12-31,1097609741,-0.5
2095-12-31,1092115205,-0.5
2096-12-31,1086671335,-0.5
2097-12-31,1081258071,-0.5
2098-12-31,1075854852,-0.5
2099-12-31,1070440557,-0.5
2100-12-31,1064993459,-0.51
