Region,Years,Population
Beijing,2000,1364
Beijing,2001,1385
Beijing,2002,1423
Beijing,2003,1456
Beijing,2004,1493
Beijing,2005,1538
Beijing,2006,1601
Beijing,2007,1676
Beijing,2008,1771
Beijing,2009,1860
Beijing,2010,1962
Beijing,2011,2024
Beijing,2012,2078
Beijing,2013,2125
Beijing,2014,2171
Beijing,2015,2188
Beijing,2016,2195
Beijing,2017,2194
Beijing,2018,2192
Beijing,2019,2190
Beijing,2020,2189
Tianjin,2000,1001
Tianjin,2001,1004
Tianjin,2002,1007
Tianjin,2003,1011
Tianjin,2004,1024
Tianjin,2005,1043
Tianjin,2006,1075
Tianjin,2007,1115
Tianjin,2008,1176
Tianjin,2009,1228
Tianjin,2010,1299
Tianjin,2011,1341
Tianjin,2012,1378
Tianjin,2013,1410
Tianjin,2014,1429
Tianjin,2015,1439
Tianjin,2016,1443
Tianjin,2017,1410
Tianjin,2018,1383
Tianjin,2019,1385
Tianjin,2020,1387
Hebei,2000,6674
Hebei,2001,6699
Hebei,2002,6735
Hebei,2003,6769
Hebei,2004,6809
Hebei,2005,6851
Hebei,2006,6898
Hebei,2007,6943
Hebei,2008,6989
Hebei,2009,7034
Hebei,2010,7194
Hebei,2011,7232
Hebei,2012,7262
Hebei,2013,7288
Hebei,2014,7323
Hebei,2015,7345
Hebei,2016,7375
Hebei,2017,7409
Hebei,2018,7426
Hebei,2019,7447
Hebei,2020,7464
Shanxi,2000,3247
Shanxi,2001,3272
Shanxi,2002,3294
Shanxi,2003,3314
Shanxi,2004,3335
Shanxi,2005,3355
Shanxi,2006,3375
Shanxi,2007,3393
Shanxi,2008,3411
Shanxi,2009,3427
Shanxi,2010,3574
Shanxi,2011,3562
Shanxi,2012,3548
Shanxi,2013,3535
Shanxi,2014,3528
Shanxi,2015,3519
Shanxi,2016,3514
Shanxi,2017,3510
Shanxi,2018,3502
Shanxi,2019,3497
Shanxi,2020,3490
Inner Mongolia,2000,2372
Inner Mongolia,2001,2381
Inner Mongolia,2002,2384
Inner Mongolia,2003,2386
Inner Mongolia,2004,2393
Inner Mongolia,2005,2403
Inner Mongolia,2006,2415
Inner Mongolia,2007,2429
Inner Mongolia,2008,2444
Inner Mongolia,2009,2458
Inner Mongolia,2010,2472
Inner Mongolia,2011,2470
Inner Mongolia,2012,2464
Inner Mongolia,2013,2455
Inner Mongolia,2014,2449
Inner Mongolia,2015,2440
Inner Mongolia,2016,2436
Inner Mongolia,2017,2433
Inner Mongolia,2018,2422
Inner Mongolia,2019,2415
Inner Mongolia,2020,2403
Liaoning,2000,4184
Liaoning,2001,4194
Liaoning,2002,4203
Liaoning,2003,4210
Liaoning,2004,4217
Liaoning,2005,4221
Liaoning,2006,4271
Liaoning,2007,4298
Liaoning,2008,4315
Liaoning,2009,4341
Liaoning,2010,4375
Liaoning,2011,4379
Liaoning,2012,4375
Liaoning,2013,4365
Liaoning,2014,4358
Liaoning,2015,4338
Liaoning,2016,4327
Liaoning,2017,4312
Liaoning,2018,4291
Liaoning,2019,4277
Liaoning,2020,4255
Jilin,2000,2682
Jilin,2001,2691
Jilin,2002,2699
Jilin,2003,2704
Jilin,2004,2709
Jilin,2005,2716
Jilin,2006,2723
Jilin,2007,2730
Jilin,2008,2734
Jilin,2009,2740
Jilin,2010,2747
Jilin,2011,2725
Jilin,2012,2698
Jilin,2013,2668
Jilin,2014,2642
Jilin,2015,2613
Jilin,2016,2567
Jilin,2017,2526
Jilin,2018,2484
Jilin,2019,2448
Jilin,2020,2399
Heilongjiang,2000,3807
Heilongjiang,2001,3811
Heilongjiang,2002,3813
Heilongjiang,2003,3815
Heilongjiang,2004,3817
Heilongjiang,2005,3820
Heilongjiang,2006,3823
Heilongjiang,2007,3824
Heilongjiang,2008,3825
Heilongjiang,2009,3826
Heilongjiang,2010,3833
Heilongjiang,2011,3782
Heilongjiang,2012,3724
Heilongjiang,2013,3666
Heilongjiang,2014,3608
Heilongjiang,2015,3529
Heilongjiang,2016,3463
Heilongjiang,2017,3399
Heilongjiang,2018,3327
Heilongjiang,2019,3255
Heilongjiang,2020,3171
Shanghai,2000,1609
Shanghai,2001,1668
Shanghai,2002,1713
Shanghai,2003,1766
Shanghai,2004,1835
Shanghai,2005,1890
Shanghai,2006,1964
Shanghai,2007,2064
Shanghai,2008,2141
Shanghai,2009,2210
Shanghai,2010,2303
Shanghai,2011,2356
Shanghai,2012,2399
Shanghai,2013,2448
Shanghai,2014,2467
Shanghai,2015,2458
Shanghai,2016,2467
Shanghai,2017,2466
Shanghai,2018,2475
Shanghai,2019,2481
Shanghai,2020,2488
Jiangsu,2000,7327
Jiangsu,2001,7359
Jiangsu,2002,7406
Jiangsu,2003,7458
Jiangsu,2004,7523
Jiangsu,2005,7588
Jiangsu,2006,7656
Jiangsu,2007,7723
Jiangsu,2008,7762
Jiangsu,2009,7810
Jiangsu,2010,7869
Jiangsu,2011,8023
Jiangsu,2012,8120
Jiangsu,2013,8192
Jiangsu,2014,8281
Jiangsu,2015,8315
Jiangsu,2016,8381
Jiangsu,2017,8423
Jiangsu,2018,8446
Jiangsu,2019,8469
Jiangsu,2020,8477
Zhejiang,2000,4680
Zhejiang,2001,4729
Zhejiang,2002,4776
Zhejiang,2003,4857
Zhejiang,2004,4925
Zhejiang,2005,4991
Zhejiang,2006,5072
Zhejiang,2007,5155
Zhejiang,2008,5212
Zhejiang,2009,5276
Zhejiang,2010,5447
Zhejiang,2011,5570
Zhejiang,2012,5685
Zhejiang,2013,5784
Zhejiang,2014,5890
Zhejiang,2015,5985
Zhejiang,2016,6072
Zhejiang,2017,6170
Zhejiang,2018,6273
Zhejiang,2019,6375
Zhejiang,2020,6468
Anhui,2000,6093
Anhui,2001,6128
Anhui,2002,6144
Anhui,2003,6163
Anhui,2004,6228
Anhui,2005,6120
Anhui,2006,6110
Anhui,2007,6118
Anhui,2008,6135
Anhui,2009,6131
Anhui,2010,5957
Anhui,2011,5972
Anhui,2012,5978
Anhui,2013,5988
Anhui,2014,5997
Anhui,2015,6011
Anhui,2016,6033
Anhui,2017,6057
Anhui,2018,6076
Anhui,2019,6092
Anhui,2020,6105
Fujian,2000,3410
Fujian,2001,3445
Fujian,2002,3476
Fujian,2003,3502
Fujian,2004,3529
Fujian,2005,3557
Fujian,2006,3585
Fujian,2007,3612
Fujian,2008,3639
Fujian,2009,3666
Fujian,2010,3693
Fujian,2011,3784
Fujian,2012,3841
Fujian,2013,3885
Fujian,2014,3945
Fujian,2015,3984
Fujian,2016,4016
Fujian,2017,4065
Fujian,2018,4104
Fujian,2019,4137
Fujian,2020,4161
Jiangxi,2000,4149
Jiangxi,2001,4186
Jiangxi,2002,4222
Jiangxi,2003,4254
Jiangxi,2004,4284
Jiangxi,2005,4311
Jiangxi,2006,4339
Jiangxi,2007,4368
Jiangxi,2008,4400
Jiangxi,2009,4432
Jiangxi,2010,4462
Jiangxi,2011,4474
Jiangxi,2012,4475
Jiangxi,2013,4476
Jiangxi,2014,4480
Jiangxi,2015,4485
Jiangxi,2016,4496
Jiangxi,2017,4511
Jiangxi,2018,4513
Jiangxi,2019,4516
Jiangxi,2020,4519
Shandong,2000,8998
Shandong,2001,9041
Shandong,2002,9082
Shandong,2003,9125
Shandong,2004,9180
Shandong,2005,9248
Shandong,2006,9309
Shandong,2007,9367
Shandong,2008,9417
Shandong,2009,9470
Shandong,2010,9588
Shandong,2011,9665
Shandong,2012,9708
Shandong,2013,9746
Shandong,2014,9808
Shandong,2015,9866
Shandong,2016,9973
Shandong,2017,10033
Shandong,2018,10077
Shandong,2019,10106
Shandong,2020,10165
Henan,2000,9488
Henan,2001,9555
Henan,2002,9613
Henan,2003,9667
Henan,2004,9717
Henan,2005,9380
Henan,2006,9392
Henan,2007,9360
Henan,2008,9429
Henan,2009,9487
Henan,2010,9405
Henan,2011,9461
Henan,2012,9532
Henan,2013,9573
Henan,2014,9645
Henan,2015,9701
Henan,2016,9778
Henan,2017,9829
Henan,2018,9864
Henan,2019,9901
Henan,2020,9941
Hubei,2000,5646
Hubei,2001,5658
Hubei,2002,5672
Hubei,2003,5685
Hubei,2004,5698
Hubei,2005,5710
Hubei,2006,5693
Hubei,2007,5699
Hubei,2008,5711
Hubei,2009,5720
Hubei,2010,5728
Hubei,2011,5760
Hubei,2012,5781
Hubei,2013,5798
Hubei,2014,5816
Hubei,2015,5850
Hubei,2016,5885
Hubei,2017,5904
Hubei,2018,5917
Hubei,2019,5927
Hubei,2020,5745
Hunan,2000,6562
Hunan,2001,6596
Hunan,2002,6629
Hunan,2003,6663
Hunan,2004,6698
Hunan,2005,6326
Hunan,2006,6342
Hunan,2007,6355
Hunan,2008,6380
Hunan,2009,6406
Hunan,2010,6570
Hunan,2011,6581
Hunan,2012,6590
Hunan,2013,6600
Hunan,2014,6611
Hunan,2015,6615
Hunan,2016,6625
Hunan,2017,6633
Hunan,2018,6635
Hunan,2019,6640
Hunan,2020,6645
Guangdong,2000,8650
Guangdong,2001,8733
Guangdong,2002,8842
Guangdong,2003,8963
Guangdong,2004,9111
Guangdong,2005,9194
Guangdong,2006,9442
Guangdong,2007,9660
Guangdong,2008,9893
Guangdong,2009,10130
Guangdong,2010,10441
Guangdong,2011,10756
Guangdong,2012,11041
Guangdong,2013,11270
Guangdong,2014,11489
Guangdong,2015,11678
Guangdong,2016,11908
Guangdong,2017,12141
Guangdong,2018,12348
Guangdong,2019,12489
Guangdong,2020,12624
Guangxi,2000,4751
Guangxi,2001,4788
Guangxi,2002,4822
Guangxi,2003,4857
Guangxi,2004,4889
Guangxi,2005,4660
Guangxi,2006,4719
Guangxi,2007,4768
Guangxi,2008,4816
Guangxi,2009,4856
Guangxi,2010,4610
Guangxi,2011,4655
Guangxi,2012,4694
Guangxi,2013,4731
Guangxi,2014,4770
Guangxi,2015,4811
Guangxi,2016,4857
Guangxi,2017,4907
Guangxi,2018,4947
Guangxi,2019,4982
Guangxi,2020,5019
Hainan,2000,789
Hainan,2001,796
Hainan,2002,803
Hainan,2003,811
Hainan,2004,818
Hainan,2005,828
Hainan,2006,836
Hainan,2007,845
Hainan,2008,854
Hainan,2009,864
Hainan,2010,869
Hainan,2011,890
Hainan,2012,910
Hainan,2013,920
Hainan,2014,936
Hainan,2015,945
Hainan,2016,957
Hainan,2017,972
Hainan,2018,982
Hainan,2019,995
Hainan,2020,1012
Chongqing,2000,2849
Chongqing,2001,2829
Chongqing,2002,2814
Chongqing,2003,2803
Chongqing,2004,2793
Chongqing,2005,2798
Chongqing,2006,2808
Chongqing,2007,2816
Chongqing,2008,2839
Chongqing,2009,2859
Chongqing,2010,2885
Chongqing,2011,2944
Chongqing,2012,2975
Chongqing,2013,3011
Chongqing,2014,3043
Chongqing,2015,3070
Chongqing,2016,3110
Chongqing,2017,3144
Chongqing,2018,3163
Chongqing,2019,3188
Chongqing,2020,3209
Sichuan,2000,8329
Sichuan,2001,8143
Sichuan,2002,8110
Sichuan,2003,8176
Sichuan,2004,8090
Sichuan,2005,8212
Sichuan,2006,8169
Sichuan,2007,8127
Sichuan,2008,8138
Sichuan,2009,8185
Sichuan,2010,8045
Sichuan,2011,8064
Sichuan,2012,8085
Sichuan,2013,8109
Sichuan,2014,8139
Sichuan,2015,8196
Sichuan,2016,8251
Sichuan,2017,8289
Sichuan,2018,8321
Sichuan,2019,8351
Sichuan,2020,8371
Guizhou,2000,3756
Guizhou,2001,3799
Guizhou,2002,3837
Guizhou,2003,3870
Guizhou,2004,3904
Guizhou,2005,3730
Guizhou,2006,3690
Guizhou,2007,3632
Guizhou,2008,3596
Guizhou,2009,3537
Guizhou,2010,3479
Guizhou,2011,3530
Guizhou,2012,3587
Guizhou,2013,3632
Guizhou,2014,3677
Guizhou,2015,3708
Guizhou,2016,3758
Guizhou,2017,3803
Guizhou,2018,3822
Guizhou,2019,3848
Guizhou,2020,3858
Yunan,2000,4241
Yunan,2001,4287
Yunan,2002,4333
Yunan,2003,4376
Yunan,2004,4415
Yunan,2005,4450
Yunan,2006,4483
Yunan,2007,4514
Yunan,2008,4543
Yunan,2009,4571
Yunan,2010,4602
Yunan,2011,4620
Yunan,2012,4631
Yunan,2013,4641
Yunan,2014,4653
Yunan,2015,4663
Yunan,2016,4677
Yunan,2017,4693
Yunan,2018,4703
Yunan,2019,4714
Yunan,2020,4722
Tibet,2000,258
Tibet,2001,264
Tibet,2002,268
Tibet,2003,272
Tibet,2004,276
Tibet,2005,280
Tibet,2006,285
Tibet,2007,289
Tibet,2008,292
Tibet,2009,296
Tibet,2010,300
Tibet,2011,309
Tibet,2012,315
Tibet,2013,317
Tibet,2014,325
Tibet,2015,330
Tibet,2016,340
Tibet,2017,349
Tibet,2018,354
Tibet,2019,361
Tibet,2020,366
Shaanxi,2000,3644
Shaanxi,2001,3653
Shaanxi,2002,3662
Shaanxi,2003,3672
Shaanxi,2004,3681
Shaanxi,2005,3690
Shaanxi,2006,3699
Shaanxi,2007,3708
Shaanxi,2008,3718
Shaanxi,2009,3727
Shaanxi,2010,3735
Shaanxi,2011,3765
Shaanxi,2012,3787
Shaanxi,2013,3804
Shaanxi,2014,3827
Shaanxi,2015,3846
Shaanxi,2016,3874
Shaanxi,2017,3904
Shaanxi,2018,3931
Shaanxi,2019,3944
Shaanxi,2020,3955
Gansu,2000,2515
Gansu,2001,2523
Gansu,2002,2531
Gansu,2003,2537
Gansu,2004,2541
Gansu,2005,2545
Gansu,2006,2547
Gansu,2007,2548
Gansu,2008,2551
Gansu,2009,2555
Gansu,2010,2560
Gansu,2011,2552
Gansu,2012,2550
Gansu,2013,2537
Gansu,2014,2531
Gansu,2015,2523
Gansu,2016,2520
Gansu,2017,2522
Gansu,2018,2515
Gansu,2019,2509
Gansu,2020,2501
Qinghai,2000,517
Qinghai,2001,523
Qinghai,2002,529
Qinghai,2003,534
Qinghai,2004,539
Qinghai,2005,543
Qinghai,2006,548
Qinghai,2007,552
Qinghai,2008,554
Qinghai,2009,557
Qinghai,2010,563
Qinghai,2011,568
Qinghai,2012,571
Qinghai,2013,571
