Region,Male,Female,sex ratio
National,51.24,48.76,105.07
Beijing,51.14,48.86,104.65
Tianjin,51.53,48.47,106.31
Hebei,50.50,49.50,102.02
Shanxi,50.99,49.01,104.06
Inner Mongolia,51.04,48.96,104.26
Liaoning,49.92,50.08,99.70
Jilin,49.92,50.08,99.69
Heilongjiang,50.09,49.91,100.35
Shanghai,51.77,48.23,107.33
Jiangsu,50.78,49.22,103.15
Zhejiang,52.16,47.84,109.04
Anhui,50.97,49.03,103.94
Fujian,51.68,48.32,106.94
Jiangxi,51.60,48.40,106.62
Shandong,50.66,49.34,102.67
Henan,50.15,49.85,100.60
Hubei,51.42,48.58,105.83
Hunan,51.16,48.84,104.77
Guangdong,53.07,46.93,113.08
Guangxi,51.70,48.30,107.04
Hainan,53.02,46.98,112.86
Chongqing,50.55,49.45,102.21
Sichuan,50.54,49.46,102.19
Guizhou,51.10,48.90,104.50
Yunnan,51.73,48.27,107.16
Tibet,52.45,47.55,110.32
Shaanxi,51.17,48.83,104.79
Gansu,50.76,49.24,103.10
Qinghai,51.21,48.79,104.97
Ningxia,50.94,49.06,103.83
Xinjiang,51.66,48.34,106.85
