Region,Nationwide,Urban,Rural,Birth_Rate,Housing_Price
Beijing,67756,73849,28928,8.12,57225.00
Tianjin,42404,46119,24804,6.73,16382.00
Hebei,25665,35738,15373,10.83,11970.00
Shanxi,23828,33262,12902,9.12,10686.00
Inner_Mongolia,30555,40782,15283,8.23,7729.00
Liaoning,31820,39777,16108,6.45,14710.00
Jilin,24563,32299,14936,6.05,11211.00
Heilongjiang,24254,30945,14982,5.73,13630.00
Shanghai,69442,73615,33195,7.00,64003.00
Jiangsu,41400,51056,22675,9.12,17547.00
Zhejiang,49899,60182,29876,10.51,19735.00
Anhui,26415,37540,15416,12.03,9154.00
Fujian,35616,45620,19568,12.90,15031.00
Jiangxi,26262,36546,15796,12.59,8802.00
Shandong,31597,42329,17775,11.77,12261.00
Henan,23903,34201,15164,11.02,10262.00
Hubei,28319,37601,16391,11.35,11932.00
Hunan,27680,39842,15395,10.39,9191.00
Guangdong,39014,48118,18818,12.54,21832.00
Guangxi,23328,34745,13676,13.31,7188.00
Hainan,26679,36017,15113,12.87,22140.00
Chongqing,28920,37939,15133,10.48,11325.00
Sichuan,24703,36154,14670,10.70,12669.00
Guizhou,20397,34404,10756,13.65,9748.00
Yunnan,22082,36238,11902,12.63,7268.00
Tibet,19501,37410,12951,14.60,10107.00
Shaanxi,24666,36098,12326,10.55,13188.00
Gansu,19139,32323,9629,10.60,11289.00
Qinghai,22618,33830,11499,13.66,5037.00
Ningxia,24412,34328,12858,13.72,8504.00
Xinjiang,23103,34664,13122,8.14,7687.00
