Region,Nationwide,Urban,Rural,Birth_Rate
Beijing,67756,73849,28928,8.12
Tianjin,42404,46119,24804,6.73
Hebei,25665,35738,15373,10.83
Shanxi,23828,33262,12902,9.12
Inner_Mongolia,30555,40782,15283,8.23
Liaoning,31820,39777,16108,6.45
Jilin,24563,32299,14936,6.05
Heilongjiang,24254,30945,14982,5.73
Shanghai,69442,73615,33195,7.00
Jiangsu,41400,51056,22675,9.12
Zhejiang,49899,60182,29876,10.51
Anhui,26415,37540,15416,12.03
Fujian,35616,45620,19568,12.90
Jiangxi,26262,36546,15796,12.59
Shandong,31597,42329,17775,11.77
Henan,23903,34201,15164,11.02
Hubei,28319,37601,16391,11.35
Hunan,27680,39842,15395,10.39
Guangdong,39014,48118,18818,12.54
Guangxi,23328,34745,13676,13.31
Hainan,26679,36017,15113,12.87
Chongqing,28920,37939,15133,10.48
Sichuan,24703,36154,14670,10.70
Guizhou,20397,34404,10756,13.65
Yunnan,22082,36238,11902,12.63
Tibet,19501,37410,12951,14.60
Shaanxi,24666,36098,12326,10.55
Gansu,19139,32323,9629,10.60
Qinghai,22618,33830,11499,13.66
Ningxia,24412,34328,12858,13.72
Xinjiang,23103,34664,13122,8.14
